project_name,x,y,lat_adj,lon_adj
WATERFRONT KEY,38885.88231600048,35503.683108212426,1.3373552598477443,103.93113454216314
CHANTILLY RISE,20183.360798077665,37925.92041913917,1.35926204544287,103.76308089988301
HUNDRED TREES,19714.962061099137,33006.86158357504,1.314775732879163,103.758873369641
HYLL ON HOLLAND,24550.1155522212,32524.955967711987,1.3104184727197876,103.80231968842838
THE CREST,26501.434041062475,30598.13273171377,1.2929931189712787,103.81985332670766
THE MINTON,33371.024546035944,37129.36889608148,1.35205886288945,103.8815806546205
THE HILLFORD,20909.800329937352,36271.25781149114,1.34429805701879,103.76960882734787
NEWTON 21,28794.964882028253,33020.842338012546,1.31490327703873,103.840461738548
ALEX RESIDENCES,26405.5425227727,30319.9890167294,1.290477680309075,103.81899171475101
THE LAKEFRONT RESIDENCES,15309.816820516839,36131.718073692944,1.343034268540324,103.719289684001
THE SEAWIND,37050.7377594048,32614.961219416386,1.3112313128698783,103.91464386544048
18 WOODSVILLE,31882.43008481945,34643.46952104755,1.329577505971115,103.86820436938001
FOREST HILLS CONDOMINIUM,26256.45342225916,42957.9008216407,1.40477044976202,103.8176513561402
NATURA@HILLVIEW,19719.6253297918,37243.99156658353,1.35309480337254,103.75891412030774
QUINTERRA,22142.167696231998,33431.47539081985,1.31861634729565,103.7806829382325
TANGLIN PARK,26120.15322589614,31341.63497389796,1.299717070816701,103.81642731192169
SEASTRAND,42193.363219306804,39781.711274921894,1.3760427538366489,103.9608561574704
THE WOODLEIGH RESIDENCES,32262.22593723453,35649.107979588574,1.3386720907912502,103.8716171861117
THE ALPS RESIDENCES,38716.76802642455,37474.048254512236,1.3551745771819341,103.92961565269891
HERITAGE VIEW,22493.853003246248,31838.395472975426,1.304209165183905,103.78384329404726
MIDTOWN BAY,30677.76428746945,30971.62103765645,1.29637073704501,103.85737946170849
PULLMAN RESIDENCES NEWTON,28630.4036054746,32991.85794381515,1.314641156219595,103.838983072104
THE M,30524.922026591383,31108.96388130862,1.2976128300558218,103.85600611831019
THE BOTANY AT DAIRY FARM,21263.4430447575,38721.3652004357,1.3664560248292,103.772785970473
TIARA,34612.814098731295,32190.093404260373,1.3073893595419033,103.892737930441
SIMS URBAN OASIS,33306.77952474253,33535.35946952737,1.3195559388431561,103.88100274601909
THE ARISTO @ AMBER,35512.6934005152,31400.3875789726,1.30024755786312,103.90082350203701
MDIS RESIDENCES @ STIRLING,24758.93553871772,30560.2351686392,1.292650253892478,103.804196240021
PARBURY HILL CONDOMINIUM,40274.17658733739,33314.8385673929,1.3175596294244656,103.943608279341
THE PIER AT ROBERTSON,28805.988814645898,30419.771980385303,1.2913801127209048,103.840560727083
PARC CENTROS,35865.2635970782,42800.600434843436,1.4033468606176056,103.90399448224977
D'NEST,40504.640972250796,39020.76389434188,1.369161798595544,103.9456814731171
ICON @ PASIR PANJANG,22709.45278957205,29104.4779738039,1.27948462216332,103.78578101734
LA DOLCE VITA,33253.547560780775,36463.65836118252,1.3460384364955373,103.88052493339225
THE MADEIRA,18686.71307669298,37720.37714215328,1.357402755906922,103.7496326019376
DOMUS,29356.549984345198,34215.989701987244,1.325711747503295,103.845507915743
LE CONNEY PARK,36754.520735052436,32732.854448975402,1.3122975822023901,103.91198224622734
8@WOODLEIGH,32043.19864983448,35366.46678257062,1.336116014711338,103.86964905981361
THE ANCHORAGE,24827.277383062803,30223.02440492193,1.289600646255652,103.8048103558107
SYMPHONY SUITES,29229.655058446537,46310.65244643895,1.43509155127669,103.84436820031719
THE QUINN,32407.55171944778,36246.210681155695,1.344072053500712,103.87292311032779
BOTANIQUE AT BARTLEY,33493.10620570797,36045.95947761256,1.34226087467309,103.8826774387126
LAUREL TREE,19648.650850379352,37230.03476471455,1.352968563365255,103.758276373497
WATERFRONT WAVES,38756.15660820202,35528.37710436062,1.3375786297434182,103.92996889131348
THE SCALA,31568.158124438487,37001.71068124938,1.3509046372063584,103.86538073881617
THE INTERLACE,24628.434288498003,29404.851087937095,1.282201354220062,103.8030237558522
VALLEY PARK,27501.695836466883,30644.849405330457,1.2934156401464356,103.82884110361242
NEPTUNE COURT,37864.15766207427,32109.176691777062,1.3066569317663481,103.9219526731343
THE AZZURO,36955.755285859545,33276.47360616085,1.3172138192009202,103.91379059366551
MIDTOWN RESIDENCES,34878.466181523196,39180.43043233735,1.370607612538,103.89512644518851
THE BENCOOLEN,30229.99750870717,31556.6854084264,1.30166188823652,103.85335612333132
URBAN VISTA,40378.7698366875,34398.71129356437,1.3273617304691911,103.9445485378915
J GATEWAY,17846.215620424853,35353.954685184646,1.336001424617395,103.74208098439752
PARK PLACE RESIDENCES AT PLQ,34628.36046092714,33175.66786917558,1.316302759348444,103.892877755161
THE SAIL @ MARINA BAY,30154.137590070022,29252.28630728645,1.2808217189550626,103.85267432990275
FORT GARDENS,33739.299302093656,31282.4991246937,1.29918179468121,103.88488874333
21 RICHARDS,33352.5368373669,38214.80002820025,1.361875115348655,103.881414724693
IDYLLIC SUITES,33917.67518909555,32793.79188590125,1.312849354480035,103.88649181694
THE CLIFT,29560.252606723,29095.6098026568,1.279404826548665,103.8473380385055
GUILLEMARD SUITES,34004.6006537834,32674.008845015924,1.3117660584639523,103.88727286305425
REFLECTIONS AT KEPPEL BAY,25695.440000431707,27732.336202032493,1.267075812140031,103.81261133593901
THE TRILINQ,20030.257158026478,33425.74495323152,1.318564046593858,103.76170634421939
SINGAPORE BOTANIC GARDENS (PALM VALLEY),20293.535770737326,38227.04115373199,1.3619851024038125,103.76407047434438
EASTPOINT GREEN,41077.704947087346,35685.10061365628,1.33899506271277,103.95082939171759
OCEAN PARK,37469.2966467633,32378.964289424144,1.3090969164588457,103.91840474611
PALM GALLERIA,36765.95669564357,32791.54852888607,1.3128283870002333,103.912085020483
ONE AMBER,35244.15924907895,31549.11646525687,1.3015926723896618,103.89841063767916
PARC ROSEWOOD,22729.078529026905,45554.75406519602,1.428255015282178,103.78595447405931
JERVOIS JADE,27092.664496173602,30534.115690555453,1.292414194180745,103.8251657856315
FERNWOOD TOWERS,38217.37341722055,32421.113129132427,1.3094778566699732,103.92512658262416
THE LAKESHORE,15713.798219057277,36445.53088843497,1.3458724425783226,103.72291956668575
THE HORIZON,27264.64560572055,30761.89631237275,1.29447416657378,103.826711103364
BLUE HORIZON,20414.174051339196,31070.7113833651,1.2972660659040371,103.76515660785272
STRATUM,40244.66335481964,40170.42949330844,1.379559053064795,103.94334587202688
WHISTLER GRAND,19178.73839034795,33562.92727668583,1.319804440508415,103.75405497593525
SAINT REGIS RESIDENCES SINGAPORE,27208.912491316896,31964.718340539697,1.3053520641711767,103.826210286875
HILLBROOKS,20105.5831504392,37840.953744495775,1.3584936171425874,103.762382039017
AQUARIUS BY THE PARK,39425.42247999563,35575.21739636136,1.338001990286048,103.9359826450243
MAYFAIR MODERN,22248.34760907155,35513.62106124729,1.3374465480411302,103.7816366279425
GRANDEUR PARK RESIDENCES,40455.01777999342,34200.9637214286,1.3255733437491586,103.94523358581243
VIDA,28642.668253012947,32322.808877553798,1.30859051228984,103.8390932622865
DUO RESIDENCES,30734.244535774524,31281.557935686422,1.299173692150436,103.85788698842421
CRADELS,30291.71325656635,34100.68188086525,1.32466888850786,103.853910855576
LIV @ MB,34107.50873681568,31361.90060576946,1.299899803280002,103.88819728384101
LES MAISONS NASSIM,26977.567455236982,32349.382690179358,1.3088308261439963,103.8241315305396
"PARKROYAL COLLECTION MARINA BAY, SINGAPORE",29070.95800396932,26179.594167295843,1.253033409655568,103.84294149712738
THE DAIRY FARM,20880.66431886871,38553.7546636384,1.3649401261463239,103.7693464812788
THE VIEW @ MEYER,33978.6612263145,31178.0274838861,1.298236945256685,103.8870394964155
Q BAY RESIDENCES,38460.51672165625,36991.068004154804,1.3508067725835762,103.9273129034635
CASA MERAH,40490.487121267695,34612.01125795096,1.3292906904704032,103.94555246397749
MINBU COURT,29677.678778086753,34192.7263199277,1.325501345745425,103.84839343063001
THE RED HOUSE,35811.5854568034,31968.63688920255,1.305386526932665,103.903509322204
M66,31483.246199533034,34547.16015156046,1.3287065666232933,103.86461746991368
HILLSTA,19444.08974928689,39800.472842253555,1.376214609364761,103.75643752426899
